"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9909","admin_question_02","webkit","Sun Oct 19 04:17:13 ICT 2025","passed","Sun Oct 19 04:17:22 ICT 2025","","APR_DT_test.spec.js","",""
"","6352","admin_question_03","webkit","Sun Oct 19 04:17:13 ICT 2025","failed","Sun Oct 19 04:17:19 ICT 2025","","APR_DT_test.spec.js","",""
"","7698","admin_question_02","chromium","Sun Oct 19 04:15:08 ICT 2025","passed","Sun Oct 19 04:15:16 ICT 2025","","APR_DT_test.spec.js","",""
"","5705","admin_SG_03","chromium","Sun Oct 19 04:15:12 ICT 2025","passed","Sun Oct 19 04:15:18 ICT 2025","","APR_DT_test.spec.js","",""
"","9635","admin_GS_05","webkit","Sun Oct 19 04:17:08 ICT 2025","passed","Sun Oct 19 04:17:17 ICT 2025","","APR_DT_test.spec.js","",""
"","2149","teacher_login_01","firefox","Sun Oct 19 04:15:50 ICT 2025","passed","Sun Oct 19 04:15:52 ICT 2025","","APR_DT_test.spec.js","",""
"","2246","teacher_login_05","firefox","Sun Oct 19 04:15:55 ICT 2025","passed","Sun Oct 19 04:15:57 ICT 2025","","APR_DT_test.spec.js","",""
"","4035","admin_SG_03","firefox","Sun Oct 19 04:16:17 ICT 2025","passed","Sun Oct 19 04:16:21 ICT 2025","","APR_DT_test.spec.js","",""
"","11240","admin_question_03","chromium","Sun Oct 19 12:33:49 ICT 2025","passed","Sun Oct 19 12:34:00 ICT 2025","","APR_DT_test.spec.js","",""
"","1947","get started link","firefox","Sun Oct 19 04:16:24 ICT 2025","passed","Sun Oct 19 04:16:26 ICT 2025","","example.spec.js","",""
"","12241","student_register_01","firefox","Sun Oct 19 04:15:28 ICT 2025","passed","Sun Oct 19 04:15:41 ICT 2025","","APR_DT_test.spec.js","",""
"","4818","admin_question_02","firefox","Sun Oct 19 04:16:09 ICT 2025","passed","Sun Oct 19 04:16:14 ICT 2025","","APR_DT_test.spec.js","",""
"","25137","admin_question_04","webkit","Sun Oct 19 04:17:15 ICT 2025","passed","Sun Oct 19 04:17:41 ICT 2025","","APR_DT_test.spec.js","",""
"","2264","teacher_login_02","firefox","Sun Oct 19 04:15:52 ICT 2025","passed","Sun Oct 19 04:15:54 ICT 2025","","APR_DT_test.spec.js","",""
